id;start_time;end_time;pet_id;vet_id;description
1;2022-12-18T18:13:21;2022-12-17T22:06:17;33953;13793;tan
2;2022-12-18T00:19:40;2022-12-17T20:41:46;40858;71634;Functionality deposit
3;2022-12-18T06:57:13;2022-12-17T21:59:57;73078;94180;Interface
4;2022-12-18T16:49:25;2022-12-17T20:01:25;72036;24914;platforms Handcrafted Wooden
5;2022-12-18T01:22:31;2022-12-18T08:50:52;97566;78838;instruction
6;2022-12-18T12:13:03;2022-12-18T08:22:24;78984;53632;primary data-warehouse Georgia
7;2022-12-18T02:04:51;2022-12-18T12:28:16;74219;95416;Arizona
8;2022-12-18T12:35:20;2022-12-18T14:14:09;37413;9532;24/7 Technician
9;2022-12-17T18:53:38;2022-12-17T22:19:00;33360;89444;Steel HDD
10;2022-12-17T21:47:59;2022-12-18T02:49:05;69090;67727;Senior Practical Optimization
